"frame_no","bodyparts","x_p1","y_p1","c_p1","x_p2","y_p2","c_p2"
16,"LEye",0,0,0,449.374,494.888,0.941441
16,"REar",200.333,522.244,0.984464,0,0,0
16,"LEar",0,0,0,481.186,508.541,0.881933
16,"LBigToe",249.913,971.083,0.359164,481.152,971.162,0.865326
16,"LSmallToe",240.85,962.097,0.343009,490.449,980.199,0.827685
16,"LHeel",172.857,962.225,0.455797,526.645,961.913,0.917363
16,"RBigToe",250.014,993.818,0.832228,449.53,948.384,0.864177
16,"RSmallToe",236.19,998.201,0.884623,449.656,930.327,0.814925
16,"RHeel",191.071,984.611,0.831485,499.364,925.735,0.592298
17,"Nose",245.352,522.29,0.927907,440.34,512.908,0.85295
17,"Neck",195.666,589.95,0.843171,485.653,567.389,0.911739
17,"RShoulder",190.89,594.386,0.889525,454.003,567.566,0.879015
17,"RElbow",195.486,671.99,0.896988,454.025,644.65,0.816261
17,"RWrist",231.946,744.179,1.00347,426.784,703.637,0.889283
17,"LShoulder",200.205,585.531,0.75122,508.467,563.075,0.873153
17,"LElbow",0,0,0,540.141,640.064,0.859071
17,"LWrist",0,0,0,485.599,667.292,0.905751
17,"MidHip",199.875,735.194,0.827263,481.073,717.034,0.832193
17,"RHip",195.671,739.584,0.901429,453.931,717.03,0.875419
17,"RKnee",236.393,848.749,0.998573,458.576,821.526,0.857502
17,"RAnkle",200.126,962.176,0.90973,490.252,921.122,0.89281
17,"LHip",199.97,730.725,0.733177,490.591,717.109,0.846371
17,"LKnee",200.01,848.387,0.904508,485.732,826.044,0.881759
17,"LAnkle",195.574,957.403,0.829246,521.879,952.896,0.861922
17,"REye",236.352,517.564,0.934962,0,0,0
17,"LEye",0,0,0,449.373,494.872,0.943724
17,"REar",204.503,522.242,0.984461,0,0,0
17,"LEar",0,0,0,481.197,508.509,0.884441
17,"LBigToe",245.51,975.613,0.351109,481.125,971.165,0.870968
17,"LSmallToe",240.816,966.525,0.336139,490.431,980.199,0.835692
17,"LHeel",172.905,966.536,0.458796,526.629,961.865,0.917793
17,"RBigToe",254.409,993.798,0.842627,449.624,948.397,0.84104
17,"RSmallToe",236.209,998.17,0.895868,453.868,930.357,0.793998
